"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A1","Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno","Module:Arduino_UNO_R3","1",""
"C1","4.7 nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C2","56 nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","1",""
"C3,C4","100 nF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","2",""
"C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17","0.1uF","~","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","13",""
"J1,J16","D2 Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","2",""
"J3,J4,J5,J6,J7,J10,J17,J19","Conn_01x01_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","8",""
"Q1","IRFZ44N","","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"R1","220 Ohm","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R2","3.9 M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R3","1k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R4,R13","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R5,R6","1.5K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2",""
"R7,R8,R15","2.2 M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","3",""
"R9","1 M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R10","2 M","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R11","1.2K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R12","27k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R14","50k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"R16","50","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1",""
"SW1","SW_SPDT","~","Button_Switch_THT:SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm","1",""
"SW2","SW_Push_Open_Dual","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"U1","LM317L_SOT-89","http://www.ti.com/lit/ds/symlink/lm317l.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U2","MPS20N0040D-S","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Data+Sheet%7FMS5837-30BA%7FB1%7Fpdf%7FEnglish%7FENG_DS_MS5837-30BA_B1.pdf%7FCAT-BLPS0017","custom_lib:PRESSURE_SENSOR","1",""
"U3","INAx126","http://www.ti.com/lit/ds/symlink/ina128.pdf","Package_DIP:DIP-8_W7.62mm","1",""
"U4","air valve","https://frank.pocnet.net/sheets/082/e/EABC80.pdf","","1",""
"U5","air pump","http://ww1.microchip.com/downloads/en/DeviceDoc/21469a.pdf","","1",""
"U6,U7","LF356","http://www.ti.com/lit/ds/symlink/lf357.pdf","Package_DIP:DIP-8_W7.62mm","2",""
"U8,U9","CRE1S0505S3C","http://power.murata.com/datasheet?/data/power/ncl/kdc_cre1.pdf","Converter_DCDC:Converter_DCDC_Murata_CRE1xxxxxx3C_THT","2",""
